DadoBrutoInt_ComSinal;DadoReal
-45716250725;-170,30630530789495
-42974276014;-160,09165351837873
-43650656747;-162,6113681010902
-44040283488;-164,06284081935883
-42416813361;-158,014943305403
-44228703189;-164,76475890353322
-42702276156;-159,07837508618832
-42278275196;-157,49884842336178
-44734219622;-166,6479543671012
-41740146759;-155,4941637776792
-42594329198;-158,67624133080244
-43063832327;-160,42527678236365
-41163186052;-153,34481765329838
-43181399099;-160,86324713751674
-41393107008;-154,20133996009827
-40879067209;-152,28639248386025
-43614082890;-162,47511986643076
-40158920567;-149,60363718494773
-41122065766;-153,1916326507926
-41739896721;-155,49323231354356
-39722001790;-147,97598790377378
-42138330682;-156,9775144830346
-40254456479;-149,95953619107604
-39747215727;-148,06991713866591
-42783435533;-159,38071732595563
-38938957317;-145,05891992524266
-39954302241;-148,8413745202124
-40508338639;-150,9053209386766
-38103994219;-141,94843999668956
-40741809192;-151,77506652474403
-38515589259;-143,4817510060966
-37902076701;-141,19623862579465
-41313273613;-153,9039373882115
-37117464806;-138,27333154529333
-38378158482;-142,96978146582842
-39050346721;-145,47387779131532
-36328872034;-135,33559454232454
-39314550289;-146,45811278000474
-36757897972;-136,93384070694447
-36054036547;-134,3117525689304
-39817789069;-148,33282332494855
-35188438210;-131,08714748173952
-36652275318;-136,54036565870047
-37508071057;-139,7284532226622
-34497657827;-128,51379002258182
-37874387362;-141,09308779984713
-34955537626;-130,2195251956582
-34089801473;-126,99440670385957
-38163403571;-142,16975707933307
-33032036785;-123,05392617359757
-34674653481;-129,17315021529794
-35609421670;-132,65543308109045
-32218427590;-120,02299573272467
-36048618787;-134,291569840163
-32940078650;-122,71135542541742
-32122079545;-119,6640712954104
-36626998492;-136,44620214402676
-30901695021;-115,11778466776013
-32608543166;-121,47628950327635
-33647205999;-125,34561007842422
-29971183664;-111,6513597369194
-34323312940;-127,86430470645428
-30929093394;-115,21985156089067
-30075822043;-112,04116807505488
-34938518534;-130,15612413734198
-28759778351;-107,13852327689528
-30649604149;-114,17867298796773
-31665744716;-117,96409158408642
-27394024736;-102,0506945848465
-32116605086;-119,64367734640837
-28389394423;-105,75873562321067
-27542324187;-102,60315309092402
-32914596240;-122,616426050663
-26453952330;-98,54865197092295
-28674524235;-106,82092694565654
-29896811196;-111,37430070340633
-25086733212;-93,45536385476589
-30161573286;-112,36061634868383
-25837738497;-96,25307655707002
-24706082874;-92,03733084350824
-30355437466;-113,08281669765711
-23440069378;-87,32106304913759
-25989668915;-96,81906146928668
-27543393466;-102,60713646560907
-22559806328;-84,0418276488781
-28332747764;-105,54771037399769
-23781838831;-88,59425347670913
-22603026132;-84,20283396542072
-28488237903;-106,12695628032088
-20960344888;-78,08336946368217
-23517663200;-87,61012256145477
-25063979688;-93,37060037255287
-19528112123;-72,74788663908839
-25774827199;-96,01871370896697
-21027614732;-78,33396916091442
-19900930565;-74,13674356415868
-26243980887;-97,766447391361
-18472709853;-68,81620680168271
-21321466290;-79,42865151911974
-22896063292;-85,29448245465755
-16791289708;-62,552428647875786
-23336524129;-86,93532693758607
-18131321770;-67,5444370880723
-16751045656;-62,40250787138939
-23325101176;-86,89277312159538
-15312830561;-57,04473913088441
-18612620675;-69,33741522952914
-20572677287;-76,63919511064887
-14214477488;-52,95305508375168
-21193742169;-78,95284209027886
-15706156807;-58,50999357923865
-14144334191;-52,691750939935446
-20810516347;-77,52521465346217
-12322119812;-45,903473392128944
-15733517699;-58,61192084476352
-17694771732;-65,91816146671772
-11088316996;-41,307199731469154
-18572000993;-69,18609512224793
-13046151256;-48,600700706243515
-11429827894;-42,57942696660757
-18292001867;-68,14301709458232
-9513842487;-35,44182511791587
-13101030487;-48,805141773074865
-15016777041;-55,94185382500291
-8024018832;-29,8917995095253
-15782300514;-58,79365099221468
-10173140402;-37,897901244461536
-8473373873;-31,565777484327555
-15531190758;-57,85819425433874
-6620780199;-24,66432824358344
-10492602718;-39,08799111098051
-12289464165;-45,78182162716985
-4941262669;-18,407637882977724
-12917156028;-48,12015603482723
-7300078225;-27,19491058960557
-5531784700;-20,60750387609005
-12665381946;-47,18222448974848
-3596239032;-13,397034376859665
-7724462389;-28,77586479857564
-9511669198;-35,433728985488415
-2005456068;-7,470906034111977
-10182509354;-37,93280331045389
-4514809889;-16,81897747889161
-2573910286;-9,58856301754713
-9744603184;-36,30147570371628
-642742890;-2,394403852522373
-5058770348;-18,8453880995512
-6664540644;-24,827348604798317
1039320030;3,8717688247561455
-7284288926;-27,136090867221355
-1762965741;-6,5675591714680195
251456891;0,936749916523695
-6862738929;-25,565694753080606
2306239524;8,591411724686623
-2316747536;-8,630557119846344
-3801944071;-14,163345362991095
4069593203;15,160416077822447
-4236584915;-15,782508682459593
1211434275;4,5129443518817425
3341592539;12,448402266949415
-3709321303;-13,818298663944006
5351494824;19,93587175011635
448839763;1,6720584146678448
-900057914;-3,352977015078068
6981339297;26,00751555338502
-1336748996;-4,979778066277504
3947644990;14,70612358301878
6362112703;23,700716730207205
-526121282;-1,9599545076489449
8371709005;31,187046337872744
3268635749;12,176617044955492
2049586423;7,635304417461157
9885938957;36,82799248769879
1549364425;5,771832261234522
6531957346;24,333437331020832
9010226883;33,56571079418063
2402862699;8,95136110112071
11240967803;41,875868301838636
6156914062;22,936292223632336
5060034083;18,850095879286528
12799814565;47,683025021106005
4569733791;17,023584958165884
9337503929;34,784912798553705
11854295147;44,16069070622325
5424893383;20,209302689880133
13971592189;52,04823683574796
8880513357;33,082490254193544
7988849594;29,7607838883996
15676093581;58,397999335080385
7620951999;28,39025854691863
12105918657;45,098061326891184
14586940128;54,34058654308319
8508734535;31,697506215423346
16810450747;62,623809080570936
11796110546;43,94393617659807
10961975855;40,836542304605246
18426199686;68,64294292777777
10531455200;39,23272788524628
